Timestamp,Where do you currently reside? (Select one),What is your age group? (Select one),What is your current employment status? (Select one),  What is your primary source of income?  ,What is your monthly income range (in KES)? (Select one),Do you currently have access to financial advisory services? (Select one),How would you rate your financial literacy? (Linear scale: 1-5),What are your primary financial goals? (Select all that apply),What challenges do you face in achieving your financial goals? (Select all that apply),How often do you seek financial advice? (Select one),Which financial advisory services have you used before?  ,Would you consider using an AI-powered chatbot for financial advice? (Select one),Which chatbot features would be most useful to you? (Select all that apply),What would make you trust an AI-powered financial advisory chatbot? (Select all that apply),How comfortable are you with using digital platforms for financial planning? (Select one),What concerns would you have about using a financial chatbot?  ,What additional features or support would you like from a financial advisory chatbot? (Open-ended question),Any other comments or suggestions? (Open-ended question)
2/25/2025 14:48,Nairobi,25-40 years,Employed (Full-time),Family Support,Prefer not to say,No,4,"Investment opportunities, Managing debt",High cost of advisory services,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms",Yes,Real-time financial tips,Availability of expert human support if needed,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Per issue advice ,None
2/28/2025 20:20,Nairobi,25-40 years,Unemployed,Family Support,"20,000-50,000",No,2,"Buying a home, Investment opportunities",Lack of trust in financial advisors,Never,"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Integration with my existing financial accounts,Easy-to-use and intuitive interface,Somewhat Comfortable,"Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Data protection policy ,I have my own financial formula I'd like to incorporate with you to program a financial app
3/1/2025 12:05,Kuala Lumpur ,61 years and above,Employed (Full-time),Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Alternative method of how I should be breaking down my monthly budget,Thanks 
2/28/2025 12:14,Kisumu,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,1,"Saving for education, Buying a home, Retirement planning, Investment opportunities, Managing debt",Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice",Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Security measures for my financial investment ,Leads to several other information unknowingly 
2/25/2025 14:18,Kapsowar,25-40 years,Employed (Full-time),Pension ,"50,001-100,000",No,3,"Saving for education, Buying a home, Retirement planning, Investment opportunities, Managing debt",Lack of financial knowledge,Rarely (Only when needed),Insurance Companies,Yes,"Personalized investment advice, Budgeting and expense tracking",Strong data privacy and security policies,Very comfortable,Accuracy of information,Risk assessment for each portfolio of investment ,How to use money without wastage
2/25/2025 15:59,Kakamega,41-60 years,Employed (Full-time),Salary/Wages,Prefer not to say,No,3,"Saving for education, Investment opportunities",Limited access to financial advisors,Frequently (Weekly or Monthly),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice",Very comfortable,"Accuracy of information, Data privacy and security",Accurate and updated information,They should give examples 
3/1/2025 18:54,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,4,Investment opportunities,"High cost of advisory services, Lack of trust in financial advisors",Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Multilingual support, Integration with my existing financial accounts","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Direct Financial support and available opportunities ,Let the financial advisory be affordable 
2/28/2025 12:12,Nairobi,41-60 years,Self-Employed,Family Support,"50,001-100,000",No,4,"Investment opportunities, Managing debt","Limited access to financial advisors, Lack of trust in financial advisors",Rarely (Only when needed),Family/Friends/Informal Groups,Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Ease of understanding responses,"one on one talks with the client, ",Let the financial advisory be affordable 
2/28/2025 21:29,Kakamega ,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,4,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),"Online Financial Platforms, Family/Friends/Informal Groups",No,"Personalized investment advice, Budgeting and expense tracking","Strong data privacy and security policies, Accurate and reliable financial advice, Availability of expert human support if needed",Very comfortable,Accuracy of information,A follow up program or a way to keep track on someone's progress after a financial advisory ,Not satisfied
2/28/2025 11:51,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,2,"Saving for education, Buying a home, Retirement planning, Investment opportunities",Lack of trust in financial advisors,Rarely (Only when needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Strong data privacy and security policies,Somewhat Comfortable,Data privacy and security,None,None
3/1/2025 12:05,KAKAMEGA ,61 years and above,Employed (Full-time),Family Support,"Less than 20,000",Yes,4,"Retirement planning, Investment opportunities",Limited access to financial advisors,Rarely (Only when needed),Insurance Companies,Yes,"Personalized investment advice, Budgeting and expense tracking","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,"Data privacy and security, Trust in automated financial advice",User friendly ,Leads to several other information unknowingly 
2/25/2025 17:26,Nairobi,41-60 years,Unemployed,Salary/Wages,"20,000-50,000",No,3,"Saving for education, Buying a home, Investment opportunities",Lack of trust in financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking",Easy-to-use and intuitive interface,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Privacy and security is what I would want guaranteed ,How to use money without wastage
2/25/2025 14:19,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,Prefer not to say,No,4,"Retirement planning, Managing debt",Lack of financial knowledge,Frequently (Weekly or Monthly),Banks/Financial Institutions,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",None,None
2/25/2025 14:25,Narok,25-40 years,Student,Family Support,"20,000-50,000",No,3,"Saving for education, Investment opportunities",Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Accuracy of information,Capability of creating reminders,How can I be sure of security of my information?
3/1/2025 12:05,Mumias,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",Yes,2,"Saving for education, Investment opportunities",High cost of advisory services,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Forecasting,"If this is something that's getting done, I'd love to try out the beta phase of this project"
2/25/2025 15:15,Nairobi,25-40 years,Unemployed,Salary/Wages,"Less than 20,000",Yes,3,"Saving for education, Investment opportunities",Limited access to financial advisors,Frequently (Weekly or Monthly),"Mobile Money Services (e.g., M-Pesa), Online Financial Platforms",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Data privacy and security,Integration with different operating systems,I loved the approach 
2/28/2025 12:01,Kajiado,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",Yes,4,"Retirement planning, Investment opportunities, Managing debt","Lack of financial knowledge, Limited access to financial advisors",Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,Ease of understanding responses,Debt management ,Nada
2/25/2025 22:26,Kakamega,25-40 years,Retired,Business/Entrepreneurship,"Less than 20,000",No,3,Investment opportunities,"Limited access to financial advisors, Lack of trust in financial advisors",Never,"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,Data privacy and security,Being successful needs bright minded advisors ,No
2/27/2025 23:35,Uganda,25-40 years,Self-Employed,Family Support,"50,001-100,000",Yes,4,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized investment advice,Availability of expert human support if needed,Somewhat Comfortable,"Ease of understanding responses, Trust in automated financial advice",Financial goals,None 
2/28/2025 23:32,Eldoret ,25-40 years,Unemployed,Salary/Wages,"20,000-50,000",No,3,Investment opportunities,High cost of advisory services,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Personalized investment advice,Strong data privacy and security policies,Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Privacy and security is what I would want guaranteed ,Good customer service 
2/27/2025 15:22,Nairobi,25-40 years,Employed (Full-time),Business/Entrepreneurship,"Less than 20,000",No,1,Investment opportunities,High cost of living,Frequently (Weekly or Monthly),None,Yes,Personalized investment advice,Easy-to-use and intuitive interface,Very comfortable,Accuracy of information,Voice assistant ,No
2/28/2025 13:34,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,3,"Retirement planning, Investment opportunities",High cost of advisory services,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,Personalized investment advice,Availability of expert human support if needed,Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses",Support on financial issues ,this is a good idea
2/28/2025 23:32,Nairobi,41-60 years,Employed (Full-time),Business/Entrepreneurship,"20,000-50,000",No,1,"Saving for education, Buying a home, Retirement planning, Investment opportunities, Managing debt","Lack of financial knowledge, Lack of trust in financial advisors",Rarely (Only when needed),Family/Friends/Informal Groups,Yes,Real-time financial tips,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Data privacy and security,Link with my spending data e.g bank/mobile money messages.,They should give examples 
2/28/2025 12:27,Nairobi,25-40 years,Employed (Full-time),Business/Entrepreneurship,"Less than 20,000",No,3,"Retirement planning, Investment opportunities, Managing debt","Lack of financial knowledge, Limited access to financial advisors",Frequently (Weekly or Monthly),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Strong data privacy and security policies,Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",A planner sort of budgetary tool.,An advisory chatbot would come in handy in contemporary finance 
2/27/2025 20:08,Kisumu,41-60 years,Student,Salary/Wages,"Less than 20,000",No,4,Investment opportunities,High cost of advisory services,Rarely (Only when needed),"Investment Firms, Family/Friends/Informal Groups",No,Personalized investment advice,"Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Accuracy of information,Privacy and security is what I would want guaranteed ,None
3/1/2025 21:36,Nairobi,25-40 years,Unemployed,Salary/Wages,Prefer not to say,No,3,Investment opportunities,High cost of advisory services,Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms",Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Data privacy and security,"Foreign investments,Risk analysis and Analysis of available financing options ",No
2/28/2025 22:24,Kisumu,25-40 years,Student,Salary/Wages,"50,001-100,000",No,4,Farming,Lack of trust in financial advisors,Never,Banks/Financial Institutions,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Strong data privacy and security policies,Very comfortable,Data privacy and security,Link with my spending data e.g bank/mobile money messages.,More investment plans 
2/25/2025 19:57,Kirinyaga,25-40 years,Self-Employed,Salary/Wages,"Less than 20,000",No,4,To leave well. ,Lack of financial knowledge,Rarely (Only when needed),None,No,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Ease of understanding responses,Open ended ,Financial knowledge and information is most welcome 
2/25/2025 15:19,Kisumu,41-60 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,4,"Saving for education, Buying a home, Investment opportunities, Managing debt, ",Limited access to financial advisors,Rarely (Only when needed),None,Yes,Personalized investment advice,Easy-to-use and intuitive interface,Somewhat Comfortable,Accuracy of information,Financial support, Easy to access
2/28/2025 16:30,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",No,3,"Saving for education, Buying a home, Investment opportunities","Lack of financial knowledge, Lack of trust in financial advisors",Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts",Accurate and reliable financial advice,Somewhat Comfortable,Data privacy and security,Voice assistant ,"A crucial feature for the adoption of the financial advisory chatbot would be its seamless ability to escalate complex questions or sensitive topics to a qualified human advisor.  Users need assurance that they can easily connect with a financial expert when faced with intricate financial decisions or when the chatbot cannot provide adequate information.  This feature ensures that users feel supported and valued, fostering trust and confidence in the chatbot's assistance while allowing them to access personalized advice when necessary. Without this option, users may hesitate to fully engage with the chatbot, fearing potential information gaps or inadequate responses for significant financial matters."
2/25/2025 18:47,Eldoret ,25-40 years,Employed (Full-time),Salary/Wages,"100,001 and above",No,4,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Family/Friends/Informal Groups",Yes,Real-time financial tips,"Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Giving of Living examples ,Nada
2/28/2025 22:48,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,4,Investment opportunities,"Limited access to financial advisors, Lack of trust in financial advisors",Never,"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security",Assurance of safety of my finances,No
2/25/2025 17:26,Kiambu ,25-40 years,Student,Salary/Wages,"50,001-100,000",No,3,Investment opportunities,Lack of trust in financial advisors,Frequently (Weekly or Monthly),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts",Strong data privacy and security policies,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Support on financial issues , Easy to access
2/27/2025 14:35,Kajiado,41-60 years,Employed (Full-time),Salary/Wages,"100,001 and above",Yes,3,Investment opportunities,Insufficient cash flow,Never,Insurance Companies,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts, ",Easy-to-use and intuitive interface,Very comfortable,"Data privacy and security, Trust in automated financial advice",None,Good luck. 
3/2/2025 18:25,Nairobi,41-60 years,Self-Employed,Salary/Wages,"100,001 and above",Yes,5,Buying a home,Frequent recurrent expediture,Frequently (Weekly or Monthly),Banks/Financial Institutions,Yes,"Personalized investment advice, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Ease of understanding responses,Investment ideas.,Non as of now
2/28/2025 12:17,⁹,25-40 years,Employed (Part-time),Family Support,"100,001 and above",No,5,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,Integration with my existing financial accounts,Availability of expert human support if needed,Very comfortable,Data privacy and security,Link with my spending data e.g bank/mobile money messages.,None
2/28/2025 23:32,Nairobi,18-24 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,3,Investment opportunities,"Lack of financial knowledge, Limited access to financial advisors",Rarely (Only when needed),Banks/Financial Institutions,Yes,"Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security",Follow up on the efficiency of the advice give ,Data privacy and AI hallucinations should be of key priority.
3/1/2025 12:05,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,1,"Saving for education, Buying a home, Investment opportunities",Lack of trust in financial advisors,Never,Banks/Financial Institutions,Yes,Budgeting and expense tracking,"Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,Data privacy and security,confidentiality,Financial  investment 
2/25/2025 17:26,Kisumu,41-60 years,Unemployed,Salary/Wages,"Less than 20,000",No,3,"Saving for education, Investment opportunities","High cost of advisory services, Lack of trust in financial advisors",Rarely (Only when needed),"Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Data security ,How to use money without wastage
2/25/2025 15:19,Kisumu,41-60 years,Employed (Full-time),Salary/Wages,"100,001 and above",No,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),Investment Firms,Yes,"Personalized investment advice, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Trust in automated financial advice,Non,None
2/27/2025 14:03,Malaba ,41-60 years,Employed (Full-time),Family Support,"Less than 20,000",Yes,5,Investment opportunities,High cost of advisory services,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Easy-to-use and intuitive interface,Very comfortable,Accuracy of information,confidentiality,How to use money without wastage
2/27/2025 14:19,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",Yes,3,"Investment opportunities, Managing debt",High cost of advisory services,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking",Availability of expert human support if needed,Very comfortable,"Data privacy and security, Trust in automated financial advice",Open ended ,Financial  investment 
2/25/2025 14:18,Kericho,25-40 years,Employed (Part-time),Salary/Wages,"100,001 and above",Yes,3,Buying a home,Limited financial sources ,Rarely (Only when needed),None,Yes,"Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Availability of expert human support if needed",Very comfortable,Ease of understanding responses,Non automated responses ,When is the AI coming up though 
2/27/2025 20:26,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"100,001 and above",No,2,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice",Somewhat Comfortable,Data privacy and security,Nothing for now,"A crucial feature for the adoption of the financial advisory chatbot would be its seamless ability to escalate complex questions or sensitive topics to a qualified human advisor.  Users need assurance that they can easily connect with a financial expert when faced with intricate financial decisions or when the chatbot cannot provide adequate information.  This feature ensures that users feel supported and valued, fostering trust and confidence in the chatbot's assistance while allowing them to access personalized advice when necessary. Without this option, users may hesitate to fully engage with the chatbot, fearing potential information gaps or inadequate responses for significant financial matters."
2/27/2025 9:26,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,1,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice",Somewhat Comfortable,Accuracy of information,A planner sort of budgetary tool.,Leads to several other information unknowingly 
2/25/2025 15:15,Nairobi,25-40 years,Unemployed,Salary/Wages,"20,000-50,000",No,4,Investment opportunities,Cost of living,Frequently (Weekly or Monthly),None,Yes,"Personalized investment advice, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Data security ,No comment 
2/25/2025 15:17,Nairobi,41-60 years,Teacher ,Family Support,"50,001-100,000",Yes,4,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,Availability of expert human support if needed,Very comfortable,Data privacy and security,Financial calculation,Make it as simple as possible 
2/28/2025 13:06,Nakuru,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",No,3,Buying a home,Lack of financial knowledge,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms",Yes,"Personalized investment advice, Budgeting and expense tracking",Strong data privacy and security policies,Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",I would love links to job opportunities for extra cash ,When is the AI coming up though 
2/28/2025 12:29,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,4,Investment opportunities,"Limited access to financial advisors, High cost of advisory services",Rarely (Only when needed),Banks/Financial Institutions,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice",Somewhat Comfortable,Trust in automated financial advice,Invitations for physical CMEs and consultancies ,Financial knowledge and information is most welcome 
2/25/2025 19:02,Nairobi,25-40 years,Self-Employed,Commission ,"100,001 and above",No,4,Retirement planning,lack of finance,Never,Banks/Financial Institutions,Yes,Budgeting and expense tracking,Easy-to-use and intuitive interface,Very comfortable,Data privacy and security,Data protection policy ,None 
2/25/2025 15:19,Narok,18-24 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Lack of funds,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Multilingual support, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice",Very comfortable,Data privacy and security,Financial support,"This is a great survey, I'm optimistic it will be helpful in developing on the development of the financial advice bot "
3/1/2025 20:03,Mumias,18-24 years,Employed (Part-time),Salary/Wages,"50,001-100,000",No,3,"Saving for education, Investment opportunities",Lack of trust in financial advisors,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,Real-time financial tips,Easy-to-use and intuitive interface,Very comfortable,Data privacy and security,Privacy and security is what I would want guaranteed ,They should give examples 
2/28/2025 21:29,Nairobi,25-40 years,Self-Employed,Salary/Wages,"20,000-50,000",Yes,5,"Saving for education, Investment opportunities, Managing debt",Limited access to financial advisors,Never,None,Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Nothing for now,Data privacy and AI hallucinations should be of key priority.
3/1/2025 13:42,Nairobi,25-40 years,Self-Employed,Salary/Wages,"20,000-50,000",No,5,Retirement planning,Limited access to financial advisors,Rarely (Only when needed),None,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Nil,Non as of now
2/25/2025 14:19,Kampala ,25-40 years,Employed (Full-time),Business/Entrepreneurship,"20,000-50,000",No,5,"Saving for education, Investment opportunities",Lack of financial knowledge,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Strong data privacy and security policies,Somewhat Comfortable,Data privacy and security,Nothing complicated just the basics.,I loved the approach 
2/27/2025 14:19,Kisumu,61 years and above,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,5,Investment opportunities,"Lack of financial knowledge, High cost of advisory services",Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Strong data privacy and security policies,Somewhat Comfortable,Data privacy and security,Open,Leads to several other information unknowingly 
2/25/2025 15:19,Nairobi,18-24 years,Employed (Full-time),Family Support,"20,000-50,000",No,4,"Buying a home, Retirement planning, Investment opportunities, Managing debt",Inadequate finances ,Never,"Mobile Money Services (e.g., M-Pesa), None",Yes,Personalized investment advice,Availability of expert human support if needed,Very comfortable,Accuracy of information,A free training ,None
2/25/2025 18:44,Nairobi,25-40 years,Employed (Full-time),Family Support,"Less than 20,000",No,2,"Saving for education, Retirement planning, Investment opportunities",Lack of financial knowledge,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Accuracy of information,Secure from hackers,No
2/28/2025 9:56,Machakos,25-40 years,Employed (Full-time),Business/Entrepreneurship,"20,000-50,000",Yes,4,Investment opportunities,"Lack of financial knowledge, Lack of trust in financial advisors",Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa)",Yes,Personalized investment advice,Availability of expert human support if needed,Very comfortable,"Data privacy and security, Trust in automated financial advice",Relevant information and knowledge ,Ai can help you meet your financial expectations when you use ot
2/28/2025 13:34,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"100,001 and above",No,3,"Saving for education, Buying a home, Retirement planning, Investment opportunities",Limited access to financial advisors,Frequently (Weekly or Monthly),"Investment Firms, Online Financial Platforms",Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Accurate and reliable financial advice",Somewhat Comfortable,"Accuracy of information, Data privacy and security",Nil,More investment plans 
3/1/2025 23:08,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,3,Investment opportunities,"Lack of financial knowledge, Inadequate finances",Rarely (Only when needed),"Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",No,Budgeting and expense tracking,Availability of expert human support if needed,Very comfortable,Data privacy and security,Capability of creating reminders,Soft loans
