Timestamp,Location,Age Group,Employment Status,  What is your primary source of income?  ,Monthly Income Range (KES),Access to Financial Advisory Services,Financial Literacy Level,Primary Financial Goals,Financial Challenges,Frequency of Seeking Financial Advice,Which financial advisory services have you used before?  ,Interest in AI-powered Chatbot,Preferred Chatbot Features,Trust Factors for Chatbots,Comfort with Digital Financial Planning,What concerns would you have about using a financial chatbot?  ,Additional Features Requested,Other Comments,Literacy Category,Income Ordinal,Income Category,Adoption Potential,User Segment
3/2/2025 6:10,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,3,Investment Opportunities,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,Integration With My Existing Financial Accounts,Strong Data Privacy And Security Policies,Very Comfortable,Accuracy Of Information,Nine,Flexible Compensation For Advisory Services Services,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 23:32,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,4,"Retirement Planning, Investment Opportunities, Managing Debt","Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Unknown,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Accuracy Of Information,How To Create Multiple Sources Of Income,Succeed In Investing,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 15:43,Kakamega,25-40 Years,Unemployed,Family Support,"Less Than 20,000",No,3,"Saving For Education, Investment Opportunities, Managing Debt",Limited Access To Financial Advisors,Rarely (Only When Needed),Banks/Financial Institutions,No,Personalized Investment Advice,Strong Data Privacy And Security Policies,Very Comfortable,"Accuracy Of Information, Data Privacy And Security",No Additional Features,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:48,Nairobi,41-60 Years,Unemployed,Salary/Wages,"20,000-50,000",No,5,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Personalized Investment Advice,"Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Open,Good Luck.,High,20,Low,Neutral,High Literacy - Low Income
3/1/2025 21:36,Kitale,41-60 Years,Self-Employed,Business/Entrepreneurship,"50,001-100,000",Yes,4,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Very Comfortable,Data Privacy And Security,Data Security,Safety  Of My Money,High,50,Low,Neutral,High Literacy - Low Income
3/1/2025 14:09,Nairobi,25-40 Years,Employed (Full-Time),Farming,"50,001-100,000",No,4,"Retirement Planning, Investment Opportunities","Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,Integration With My Existing Financial Accounts,Accurate And Reliable Financial Advice,Somewhat Comfortable,Ease Of Understanding Responses,Unknown,None Right Now,High,50,Low,Neutral,High Literacy - Low Income
2/28/2025 12:25,Rongo,41-60 Years,Employed (Full-Time),Family Support,"Less Than 20,000",No,4,Investment Opportunities,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Data Privacy And Security,Giving Of Living Examples,They Should Give Examples,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 12:54,Kakamega,25-40 Years,Unemployed,Commission,"20,000-50,000",No,2,Investment Opportunities,High Cost Of Advisory Services,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Strong Data Privacy And Security Policies,Very Comfortable,"Accuracy Of Information, Data Privacy And Security",50-30-20 Rule,"This Is A Great Survey, I'M Optimistic It Will Be Helpful In Developing On The Development Of The Financial Advice Bot",Low,20,Low,Neutral,Low Literacy - Low Income
2/27/2025 20:08,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,4,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt",Capital Restraints,Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Strong Data Privacy And Security Policies,Very Comfortable,Trust In Automated Financial Advice,"Foreign Investments,Risk Analysis And Analysis Of Available Financing Options",Non,High,50,Low,Neutral,High Literacy - Low Income
2/25/2025 15:17,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",Yes,3,Investment Opportunities,"Limited Access To Financial Advisors, High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,"Accuracy Of Information, Ease Of Understanding Responses",None,Non,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/26/2025 12:03,Narok,18-24 Years,Employed (Full-Time),Pension,"Less Than 20,000",No,3,Buying A Home,Lack Of Finance,Rarely (Only When Needed),Banks/Financial Institutions,No,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Data Privacy And Security,How To Improve Financially,"This Is A Great Survey, I'M Optimistic It Will Be Helpful In Developing On The Development Of The Financial Advice Bot",Medium,20,Low,Neutral,Medium Literacy - Low Income
3/2/2025 13:06,Nairobi,25-40 Years,Student,Salary/Wages,Prefer Not To Say,Yes,5,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities",Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Data Privacy And Security,Alternative Method Of How I Should Be Breaking Down My Monthly Budget,No,High,0,,Neutral,High Literacy - nan Income
3/1/2025 12:05,Murang'A,25-40 Years,Employed (Full-Time),Family Support,"20,000-50,000",No,5,Oii,Lack Of Trust In Financial Advisors,Never,Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Data Privacy And Security,Invitations For Physical Cmes And Consultancies,Its Trusted,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 12:14,Nairobi,25-40 Years,Student,Family Support,"20,000-50,000",No,3,"Saving For Education, Buying A Home, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),"Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Very Comfortable,Trust In Automated Financial Advice,Nine,None,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/1/2025 12:05,Uganda,41-60 Years,Employed (Full-Time),Business/Entrepreneurship,"Less Than 20,000",Yes,3,Investment Opportunities,High Cost Of Advisory Services,Frequently (Weekly Or Monthly),Insurance Companies,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Per Issue Advice,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 9:26,Nairobi,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"100,001 And Above",Yes,4,Investment Opportunities,"Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Frequently (Weekly Or Monthly),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Ease Of Understanding Responses,Data Protection Policy,Unknown,High,100,Low,Neutral,High Literacy - Low Income
3/1/2025 14:09,Nakuru,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"20,000-50,000",Yes,3,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities",Lack Of Trust In Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",No,"Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Ease Of Understanding Responses, Trust In Automated Financial Advice",Confidentiality,This Is A Good Idea I Hope It Works Out,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 23:35,Thika,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"20,000-50,000",No,3,Managing Debt,Capital Restraints,Rarely (Only When Needed),Investment Firms,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Nil,Non At The Moment,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/2/2025 13:06,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",Yes,4,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Easy-To-Use And Intuitive Interface,Not Comfortable,Accuracy Of Information,"One On One Talks With The Client,",Thanks,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 15:17,Kajiado,25-40 Years,Self-Employed,Salary/Wages,"100,001 And Above",Yes,4,Saving For Education,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Investment Firms, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,Strong Data Privacy And Security Policies,Somewhat Comfortable,Ease Of Understanding Responses,Security Measures For My Financial Investment,Non As Of Now,High,100,Low,Neutral,High Literacy - Low Income
2/27/2025 20:25,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",No,4,Buying A Home,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,"Accuracy Of Information, Data Privacy And Security",How To Spend Money,Unknown,High,100,Low,Neutral,High Literacy - Low Income
3/1/2025 21:37,Kisumu,18-24 Years,Student,Business/Entrepreneurship,Prefer Not To Say,Yes,4,"Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),Investment Firms,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Availability Of Expert Human Support If Needed,Very Comfortable,Data Privacy And Security,Unknown,"A Crucial Feature For The Adoption Of The Financial Advisory Chatbot Would Be Its Seamless Ability To Escalate Complex Questions Or Sensitive Topics To A Qualified Human Advisor.  Users Need Assurance That They Can Easily Connect With A Financial Expert When Faced With Intricate Financial Decisions Or When The Chatbot Cannot Provide Adequate Information.  This Feature Ensures That Users Feel Supported And Valued, Fostering Trust And Confidence In The Chatbot'S Assistance While Allowing Them To Access Personalized Advice When Necessary. Without This Option, Users May Hesitate To Fully Engage With The Chatbot, Fearing Potential Information Gaps Or Inadequate Responses For Significant Financial Matters.",High,0,,Neutral,High Literacy - nan Income
2/25/2025 14:18,Kisii,41-60 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,3,"Saving For Education, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Accurate And Reliable Financial Advice,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Investment Ideas.,None Right Now,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:34,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,Prefer Not To Say,Yes,5,Investment Opportunities,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",No,Integration With My Existing Financial Accounts,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Data Privacy And Security,Analysis Of Macroeconomics Variables,No,High,0,,Neutral,High Literacy - nan Income
2/28/2025 18:14,Kapsowar,18-24 Years,Employed (Full-Time),Family Support,"50,001-100,000",No,2,"Investment Opportunities, Managing Debt","Lack Of Financial Knowledge, Limited Access To Financial Advisors",Frequently (Weekly Or Monthly),"Insurance Companies, Mobile Money Services (E.G., M-Pesa)",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Availability Of Expert Human Support If Needed",Not Comfortable,"Accuracy Of Information, Data Privacy And Security",Nothing Complicated Just The Basics.,Not Satisfied,Low,50,Low,Neutral,Low Literacy - Low Income
2/25/2025 15:17,Nairobi,41-60 Years,Employed (Part-Time),Family Support,"50,001-100,000",No,5,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt",Limited Access To Financial Advisors,Never,"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,Strong Data Privacy And Security Policies,Very Comfortable,Data Privacy And Security,Customization Of The Chats To My Preferences.,Unknown,High,50,Low,Neutral,High Literacy - Low Income
2/25/2025 15:19,Nairobi,25-40 Years,Teacher,Salary/Wages,"20,000-50,000",No,5,Buying A Home,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,"Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Not Comfortable,Ease Of Understanding Responses,Time Saving,Non At The Moment,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 19:57,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,3,"Buying A Home, Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Not Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Alternative Method Of How I Should Be Breaking Down My Monthly Budget,How To Track Financial Investments From The Descision Made From The Chatbot,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/25/2025 15:55,Nairobi,25-40 Years,Student,Salary/Wages,Prefer Not To Say,No,4,Investment Opportunities,High Cost Of Advisory Services,Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms",No,Budgeting And Expense Tracking,Availability Of Expert Human Support If Needed,Very Comfortable,Ease Of Understanding Responses,Unknown,How Can I Be Sure Of Security Of My Information?,High,0,,Neutral,High Literacy - nan Income
2/25/2025 14:18,Nairobi,25-40 Years,Student,Business/Entrepreneurship,"Less Than 20,000",Yes,4,Saving For Education,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Accurate And Reliable Financial Advice,Not Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",No Additional Features,No.,High,20,Low,Neutral,High Literacy - Low Income
3/2/2025 18:25,Thika,25-40 Years,Self-Employed,Business/Entrepreneurship,"20,000-50,000",Yes,4,"Buying A Home, Retirement Planning, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Na,No,High,20,Low,Neutral,High Literacy - Low Income
3/2/2025 18:25,Kisumu,25-40 Years,Employed (Full-Time),Family Support,"50,001-100,000",No,1,"Saving For Education, Managing Debt","Limited Access To Financial Advisors, High Cost Of Advisory Services",Never,"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Integration With My Existing Financial Accounts,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Data Privacy And Security,Non,No,Low,50,Low,Neutral,Low Literacy - Low Income
2/28/2025 22:24,Kisumu,25-40 Years,Student,Salary/Wages,"20,000-50,000",No,3,"Saving For Education, Retirement Planning, Investment Opportunities","Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Online Financial Platforms",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Availability Of Expert Human Support If Needed,Very Comfortable,Data Privacy And Security,How To Spend Money,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:27,Kampala,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,Prefer Not To Say,No,4,"Investment Opportunities, Managing Debt","Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Availability Of Expert Human Support If Needed",Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",On Saving And How To Get Capital For Business,Unknown,High,0,,Neutral,High Literacy - nan Income
2/27/2025 21:14,Kakamega,25-40 Years,Self-Employed,Business/Entrepreneurship,"50,001-100,000",Yes,3,Investment Opportunities,Lack Of Funds,Rarely (Only When Needed),Investment Firms,Yes,"Personalized Investment Advice, Integration With My Existing Financial Accounts",Easy-To-Use And Intuitive Interface,Not Comfortable,Accuracy Of Information,50-30-20 Rule,You Should Be Able To Suggest Real Time Job Opportunities Around Me,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/28/2025 13:34,Nairobi,25-40 Years,Employed (Full-Time),Pension,"Less Than 20,000",Yes,3,"Saving For Education, Buying A Home",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),Banks/Financial Institutions,Yes,Personalized Investment Advice,Availability Of Expert Human Support If Needed,Very Comfortable,Accuracy Of Information,Capability Of Creating Reminders,Nada,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/26/2025 12:03,Eldoret,25-40 Years,Employed (Full-Time),Salary/Wages,Prefer Not To Say,No,4,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Never,Insurance Companies,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,Data Security,Safety  Of My Money,High,0,,Neutral,High Literacy - nan Income
3/1/2025 11:17,Nairobi,25-40 Years,Employed (Part-Time),Family Support,"20,000-50,000",Yes,4,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,Personalized Investment Advice,Strong Data Privacy And Security Policies,Not Comfortable,Accuracy Of Information,Follow Up On The Efficiency Of The Advice Give,Financial  Investment,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 18:14,Kampala,41-60 Years,Employed (Part-Time),Family Support,"20,000-50,000",No,3,Investment Opportunities,Limited Funds,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts",Availability Of Expert Human Support If Needed,Somewhat Comfortable,Accuracy Of Information,Testimonials,Ai Can Help You Meet Your Financial Expectations When You Use Ot,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 23:35,Nairobi,25-40 Years,Employed (Part-Time),Salary/Wages,"Less Than 20,000",Yes,3,Investment Opportunities,"Lack Of Financial Knowledge, Inadequate Finances",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Very Comfortable,Accuracy Of Information,Calculator,Non,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 11:51,Nairobi,18-24 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,4,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,"Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Unknown,I Have My Own Financial Formula I'D Like To Incorporate With You To Program A Financial App,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 20:20,Bungoma,41-60 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,4,Retirement Planning,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,Personalized Investment Advice,Availability Of Expert Human Support If Needed,Somewhat Comfortable,Accuracy Of Information,A Free Training,Cost Of Financial Services Should Be Favourable,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 20:20,Eldoret,25-40 Years,Unemployed,Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Accuracy Of Information,A Free Training,How To Track Financial Investments From The Descision Made From The Chatbot,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:11,Uganda,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,4,"Retirement Planning, Investment Opportunities",Lack Of Trust In Financial Advisors,Never,"Mobile Money Services (E.G., M-Pesa)",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Data Privacy And Security,None,Data Privacy And Ai Hallucinations Should Be Of Key Priority.,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 12:14,Mombasa,25-40 Years,Self-Employed,Pension,Prefer Not To Say,Yes,2,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,Link With My Spending Data E.G Bank/Mobile Money Messages.,None,Low,0,,Neutral,Low Literacy - nan Income
2/25/2025 16:31,Nairobi,61 Years And Above,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,4,Saving For Education,Lack Of Financial Knowledge,Rarely (Only When Needed),"Insurance Companies, Online Financial Platforms",Yes,Budgeting And Expense Tracking,Easy-To-Use And Intuitive Interface,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Learn How To Invest And Grow The Money I Have,Na,High,50,Low,Neutral,High Literacy - Low Income
2/25/2025 15:17,Nairobi,25-40 Years,Student,Family Support,Prefer Not To Say,No,2,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt","Lack Of Financial Knowledge, Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),Banks/Financial Institutions,Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Somewhat Comfortable,Data Privacy And Security,Unknown,Nada,Low,0,,Neutral,Low Literacy - nan Income
2/25/2025 14:25,Nairobi,25-40 Years,Student,Salary/Wages,Prefer Not To Say,No,4,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Very Comfortable,Ease Of Understanding Responses,Graphical Representation Of Concepts,No.,High,0,,Neutral,High Literacy - nan Income
2/28/2025 12:14,Kisumu,25-40 Years,Unemployed,Salary/Wages,"Less Than 20,000",No,5,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt",Lack Of Financial Knowledge,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,Investment Ideas.,How Is Data Privacy Important And Plans To Achieve It,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 23:32,Kakamega,25-40 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",No,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Insurance Companies,Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Very Comfortable,Data Privacy And Security,Money Lending Services Geared Towards Achieving Specific Goal.,How To Track Financial Investments From The Descision Made From The Chatbot,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/26/2025 17:24,Kisumu,25-40 Years,Retired,Salary/Wages,"50,001-100,000",No,3,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Very Comfortable,Data Privacy And Security,Relevant Information And Knowledge,Leads To Several Other Information Unknowingly,Medium,50,Low,Neutral,Medium Literacy - Low Income
